日期,開盤,最高,最低,收盤,漲跌,成交股數,外資,投信,自營,法人合計,融資餘額,融券餘額,券資比%,本益比,='儀表板'!$A$4&'儀表板'!$A$3,='儀表板'!$A$5&'儀表板'!$A$3,='儀表板'!$A$6&'儀表板'!$A$3,='儀表板'!$A$7&'儀表板'!$A$3,='儀表板'!$A$8&'儀表板'!$A$3,='儀表板'!$A$9&'儀表板'!$A$3,='儀表板'!$B$4&'儀表板'!$B$3,='儀表板'!$B$5&'儀表板'!$B$3,='儀表板'!$B$6&'儀表板'!$B$3
2026/05/13,2510.0,2555.0,2435.0,2435.0,-90.0,4120.0,-525.0,147.0,-5.0,-383.0,1819,37,2.034084661902144,46.05,"=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/12,2675.0,2695.0,2520.0,2525.0,-65.0,6057.0,-1153.0,461.0,-61.0,-753.0,1882,32,1.7003188097768331,47.75,"=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/11,2490.0,2610.0,2485.0,2590.0,215.0,8849.0,2647.0,669.0,-38.0,3278.0,1804,38,2.106430155210643,48.98,"=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/08,2400.0,2425.0,2305.0,2375.0,-185.0,10934.0,-1884.0,-355.0,219.0,-2020.0,2481,52,2.0959290608625554,44.91,"=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/07,2495.0,2560.0,2465.0,2560.0,75.0,3820.0,544.0,26.0,60.0,630.0,1963,40,2.0376974019358127,54.32,"=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/06,2545.0,2620.0,2325.0,2485.0,-10.0,6256.0,133.0,-70.0,30.0,93.0,1880,41,2.1808510638297873,52.73,"=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/05,2520.0,2550.0,2440.0,2495.0,-10.0,3475.0,-6.0,211.0,39.0,244.0,1956,44,2.2494887525562373,52.94,"=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/04,2380.0,2505.0,2360.0,2505.0,225.0,4412.0,1277.0,29.0,9.0,1315.0,2057,49,2.382109868740885,53.15,"=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/04/30,2225.0,2315.0,2215.0,2280.0,70.0,3776.0,773.0,26.0,-0.0,799.0,1862,37,1.9871106337271751,48.38,"=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/04/29,2245.0,2270.0,2190.0,2210.0,-85.0,4562.0,-628.0,-6.0,8.0,-626.0,1976,35,1.771255060728745,46.89,"=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))"
